,코드,회사명,시장구분,업종대,업종소,주가(원),시가총액(억),시가총액(억) 우선주포함,주식수 (단위:만주),유통주식 비중 (%),대주주 비중 (%),자사주 비중 (%),연간 주식수 증가율 (%),연간 유통주식 비중 증가폭 (%),연간 대주주 비중 증가폭 (%),연간 자사주 비중 증가폭 (%),분기 주식수 증가율 (%),분기 유통주식 비중 증가폭 (%),분기 대주주 비중 증가폭 (%),분기 자사주 비중 증가폭 (%),1일 등락률 (%),1주 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),5년 등락률 (%),10년 등락률 (%),1개월 RS,3개월 RS,6개월 RS,9개월 RS,1년 RS,GP/A (%),분기 GP/A (%),OP/A (%),분기 OP/A (%),GP/E (%),분기 GP/E (%),OP/E (%),분기 OP/E (%),GPM (%),분기 GPM (%),5년평균 OPM (%),OPM (%),분기 OPM (%),1년후 OPM (%),NPM (%),분기 NPM (%),1년후 NPM (%),5년평균 ROE,3년전 ROE,2년전 ROE,1년전 ROE,ROE (%),분기 ROE (%),1년후 ROE (%),ROA (%),분기 ROA (%),1년후 ROA (%),ROIC (%),PFCR,분기 PFCR,PSR,분기 PSR,PGPR,분기 PGPR,POR,분기 POR,5년평균 PER,PER,분기 PER,1년후 PER,R&D PER,분기 R&D PER,EV /EBITDA,PAR,고점 PBR,저점 PBR,5년평균 PBR,PBR,1년후 PBR,PCR,분기 PCR,PRR,분기 PRR,PEG,분기 PEG,1년후 PEG,이익성장/ 시가총액,분기 이익성장/시가총액,R&D/ 매출액 (%),R&D/ 영업이익 (%),설비투자/ 매출액 (%),설비투자/ 영업이익 (%),미래투자/ 매출액 (%),미래투자/ 영업이익 (%),청산가치비율 (NCAV전략) (%),이자보상배율,유보율 (%),당좌 비율 (%),유동 비율 (%),부채 비율 (%),영업이익/차입금 (%),차입률 (%),배당 성향 (%),주주 환원율 (%),연간 배당률 (%),연간 배당률 고점,연간 배당률 저점,국채시가 배당률,SPS,OPS,EPS,BPS,CPS,DPS,주가 변동성 (12개월),베타 (12개월),이익 변동성 (8분기),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율 (5일평균대비),거래대금 증가율 (20일평균대비),주가>5이평,주가>20이평,주가>60이평,주가>120이평,12개월 신고가,12개월 신저가,신고가율 (%),신저가율 (%),고점대비 PBR괴리율(%),저점대비 PBR괴리율(%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),12개월 기관(%),12개월 외인(%),12개월 수급(%),상속세 괴리율 (%),예상가 괴리율 (%),상속세 주가,예상 주가,성장점수,수익점수,안정점수,벨류점수,퀀트점수,마법공식 상위50등,저벨류 상위50등,고속성장 상위50등,슈퍼퀀트 상위50등,적자기업 =1,해외 본사 =1,지주사 =1,금융 =1,스팩 =1,리츠 =1,관리종목 =1,4분기 연속QOQ 지배순익증가 =1,4분기 연속YOY 지배순익증가 =1,24년1Q 실적발표 =1,24년1Q 재무발표 =1,영업이익>지배순익 =1,리포트 신뢰도,결산일,직전실적 발표일,이번실적 발표일,GP/A 증가율 (%),분기 GP/A 증가율 (%),OP/A 증가율 (%),분기 OP/A 증가율 (%),GP/E 증가율 (%),분기 GP/E 증가율 (%),OP/E 증가율 (%),분기 OP/E 증가율 (%),GPM 증가율 (%),분기 GPM 증가율 (%),매출총이익 증가율(%),분기 매출총이익증가율(%),OPM 증가율 (%),분기 OPM 증가율 (%),NPM 증가율 (%),분기 NPM 증가율 (%),ROE 증가율 (%),분기 ROE 증가율 (%),ROA 증가율 (%),분기 ROA 증가율 (%),FCF 증가율 (%),분기 FCF 증가율 (%),자산 증가율 (%),자본 증가율 (%),BPS 증가율 (%),CPS 증가율 (%),DPS  증가율 (%),(영업이익/차입금) 증가율 (%),(분기 영업이익/차입금) 증가율 (%),직원수 증가율 (%),R&D 증가율 (%),분기 R&D 증가율 (%),설비투자 증가율 (%),분기 설비투자 증가율 (%),미래투자 증가율  (%),분기 미래투자 증가율 (%),매출채권 회전일수,재고자산 회전일수,매입채무회전일수,현금회전일수,총자산 회전율,자본총계 회전율,F스코어 순이익>0 여부,F스코어 영업활동현금>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 20년->23년 3년간 YOY,매출액 연환산 YOY,매출액 21년 YOY,매출액 22년  YOY,매출액 23년  YOY,매출액 23년1Q YOY,매출액 23년2Q YOY,매출액 23년3Q YOY,매출액 23년4Q YOY,매출액 24년1Q(E) YOY,매출액 23년1Q QOQ,매출액 23년2Q QOQ,매출액 23년3Q QOQ,매출액 23년4Q QOQ,매출액 24년1Q(E) QOQ,영업이익 20년->23년 3년간 YOY,영업이익 연환산 YOY,영업이익 21년 YOY,영업이익 22년  YOY,영업이익 23년  YOY,영업이익 23년1Q YOY,영업이익 23년2Q YOY,영업이익 23년3Q YOY,영업이익 23년4Q YOY,영업이익 24년1Q(E) YOY,영업이익 23년1Q QOQ,영업이익 23년2Q QOQ,영업이익 23년3Q QOQ,영업이익 23년4Q QOQ,영업이익 24년1Q(E) QOQ,지배순이익 20년->23년 3년간 YOY,지배순이익 연환산 YOY,지배순이익 21년 YOY,지배순이익 22년  YOY,지배순이익 23년  YOY,지배순이익 23년1Q YOY,지배순이익 23년2Q YOY,지배순이익 23년3Q YOY,지배순이익 23년4Q YOY,지배순이익 24년1Q(E) YOY,지배순이익 23년1Q QOQ,지배순이익 23년2Q QOQ,지배순이익 23년3Q QOQ,지배순이익 23년4Q QOQ,지배순이익 24년1Q(E) QOQ,SPS 20년->23년 3년간 YOY,SPS 연환산 YOY,SPS 21년 YOY,SPS 22년  YOY,SPS 23년  YOY,SPS 23년1Q YOY,SPS 23년2Q YOY,SPS 23년3Q YOY,SPS 23년4Q YOY,SPS 24년1Q(E) YOY,SPS 23년1Q QOQ,SPS 23년2Q QOQ,SPS 23년3Q QOQ,SPS 23년4Q QOQ,SPS 24년1Q(E) QOQ,OPS 20년->23년 3년간 YOY,OPS 연환산 YOY,OPS 21년 YOY,OPS 22년  YOY,OPS 23년  YOY,OPS 23년1Q YOY,OPS 23년2Q YOY,OPS 23년3Q YOY,OPS 23년4Q YOY,OPS 24년1Q(E) YOY,OPS 23년1Q QOQ,OPS 23년2Q QOQ,OPS 23년3Q QOQ,OPS 23년4Q QOQ,OPS 24년1Q(E) QOQ,EPS 20년->23년 3년간 YOY,EPS 연환산 YOY,EPS 21년 YOY,EPS 22년  YOY,EPS 23년  YOY,EPS 23년1Q YOY,EPS 23년2Q YOY,EPS 23년3Q YOY,EPS 23년4Q YOY,EPS 24년1Q(E) YOY,EPS 23년1Q QOQ,EPS 23년2Q QOQ,EPS 23년3Q QOQ,EPS 23년4Q QOQ,EPS 24년1Q(E) QOQ,매출액 (단위: 억),매출총이익,판관비,연구개발비,영업이익,금융손익,관계기업손익,기타 영업외손익,세전순이익,순이익,지배순이익,총자산,부채,자본총계,지배주주지분,유동부채,매입채무,비유동부채,차입금등,순차입금,유동자산,현금성자산,매출채권,재고자산,비유동자산,유형자산,무형자산,투자자산,감가상각비,설비투자,미래투자 (R&D+설비투자),영업활동 현금흐름,투자활동 현금흐름,재무활동 현금흐름,EV,EBITDA,FCF,분기FCF,직원수,매출액 20년,매출액 21년,매출액 22년,매출액 23년,영업이익 20년,영업이익 21년,영업이익 22년,영업이익 23년,지배순이익 20년,지배순이익 21년,지배순이익 22년,지배순이익 23년,SPS 20년,SPS 21년,SPS 22년,SPS 23년,OPS 20년,OPS 21년,OPS 22년,OPS 23년,EPS 20년,EPS 21년,EPS 22년,EPS 23년,매출액 22년1Q,매출액 22년2Q,매출액 22년3Q,매출액 22년4Q,매출액 23년1Q,매출액 23년2Q,매출액 23년3Q,매출액 23년4Q,매출액 24년1Q(E),영업이익 22년1Q,영업이익 22년2Q,영업이익 22년3Q,영업이익 22년4Q,영업이익 23년1Q,영업이익 23년2Q,영업이익 23년3Q,영업이익 23년4Q,영업이익 24년1Q(E),지배순이익 22년1Q,지배순이익 22년2Q,지배순이익 22년3Q,지배순이익 22년4Q,지배순이익 23년1Q,지배순이익 23년2Q,지배순이익 23년3Q,지배순이익 23년4Q,지배순이익 24년1Q(E),SPS 22년1Q,SPS 22년2Q,SPS 22년3Q,SPS 22년4Q,SPS 23년1Q,SPS 23년2Q,SPS 23년3Q,SPS 23년4Q,SPS 24년1Q(E),OPS 22년1Q,OPS 22년2Q,OPS 22년3Q,OPS 22년4Q,OPS 23년1Q,OPS 23년2Q,OPS 23년3Q,OPS 23년4Q,OPS 24년1Q(E),EPS 22년1Q,EPS 22년2Q,EPS 22년3Q,EPS 22년4Q,EPS 23년1Q,EPS 23년2Q,EPS 23년3Q,EPS 23년4Q,EPS 24년1Q(E),24년1Q  매출액,24년1Q  영업이익,24년1Q  지배순이익,5년 예상연복리수익률
0,A082800,비보존 제약,코스닥,전기 및 전자기기,LED,2850,1374,1374,4821,56.5,37.1,1.5,0.0,-3.23,-3.25,1.5,0.0,0.58,0.0,-0.6,0.35,-1.04,-3.72,-5.63,-13.11,-9.81,-33.18,-61.87,-65.66,-70.08,13.04,41.4,19.13,38.23,17.34,20.53,23.33,3.13,1.68,33.83,38.45,5.15,2.76,45.41,49.92,-10.38,6.92,3.58,,-3.05,-4.97,,-34.31,-30.14,-94.31,-30.6,-2.27,-3.83,,-1.38,-2.32,,34.92,-114.18,-20.58,1.79,1.73,3.94,3.47,25.87,48.27,-5.39,-58.64,-34.81,,-40.94,-24.16,18.89,0.81,4.97,1.06,1.82,1.33,,41.39,-157.04,54.08,43.14,-0.630741,-0.686915,0.0,22.55,0.74,3.56,98.27,6.34,174.96,9.91,273.23,-20.02,2.5,-13.3,42.4,63.36,64.77,6.21,40.36,,1.5,0.0,0.0,0.0,0.0,1593.0,110.0,-49.0,2139.0,69.0,,0.3791,2.01539,-1.36071,2.63,2.38,2.02,10.48,30.13,0,0,0,0,4620,2395,61.69,19.0,272.95,25.72,0.0,-0.0035,-0.0035,0.0,0.0105,0.0105,0.0,0.0056,0.0056,0.0003,-0.1108,-0.1105,0.0003,-0.2347,-0.2343,0.0003,-1.5925,-1.5922,-175.87,-117.02,-2162.0,-485.0,84,45,37,30,43,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,,20221230,20240514,20240514.0,76.63,71.08,241.59,138.72,70.19,64.85,236.43,137.31,2.61,12.85,61.13,56.07,182.25,125.54,95.52,64.33,92.58,47.9,92.29,45.93,87.74,62.05,-8.78,-5.33,-5.33,200.32,,168.95,-69.26,7.82,31.83,238.81,-30.31,-62.34,-30.31,-62.34,69.09,66.5,90.98,44.61,0.45,0.74,0,1,1,1,1,0,1,1,1,7,63.6,57.03,32.04,-10.42,38.31,-15.57,42.77,16.54,190.13,38.29,81.69,12.58,10.58,28.26,-13.4,132.56,229.17,-121.59,69.11,147.56,39.66,133.36,122.62,-78.79,135.32,-124.78,186.68,-35.35,52.74,-58.74,92.33,92.97,-58.74,42.55,91.59,76.69,97.62,104.14,92.01,50.67,88.76,90.98,236.39,-677.93,30.59,-4.54,57.03,9.31,-34.97,34.28,-40.49,38.61,13.15,181.68,38.29,76.41,12.58,10.58,28.26,-13.4,119.0,229.17,-83.44,77.57,146.17,57.47,132.39,121.96,-79.41,135.32,-124.06,186.68,-35.35,52.74,-58.74,95.52,92.97,-31.41,58.29,91.83,83.57,97.69,104.02,92.24,50.67,89.09,90.98,236.39,-677.93,30.59,768.15,348.81,295.69,25.41,53.12,-12.22,-28.03,-6.69,-10.91,-23.43,-23.43,1698.94,667.85,1031.09,1031.09,619.95,177.77,47.9,416.15,238.94,392.82,79.87,135.0,129.94,1306.12,239.53,108.4,914.86,32.28,45.23,70.64,33.2,154.13,-181.98,1612.97,85.4,-12.03,-16.7,262,435.92,575.6,515.64,713.18,-79.41,-175.98,-54.37,25.85,-437.54,-694.57,-399.06,-33.57,1549.63,1693.87,1101.6,1479.26,-282.31,-517.86,-116.15,53.63,-1555.42,-2043.97,-852.53,-69.63,170.05,113.21,153.37,79.02,143.57,161.63,178.74,229.25,198.54,-33.39,-52.36,-49.92,81.31,-20.15,17.47,11.29,17.25,7.12,-85.82,-75.8,-59.46,-177.97,-20.01,-1.8,2.46,-14.22,-9.87,500.41,241.87,327.65,168.81,297.78,335.25,370.73,475.5,411.8,-98.26,-111.86,-106.65,173.7,-41.79,36.23,23.42,35.77,14.76,-252.55,-161.94,-127.03,-380.22,-41.5,-3.74,5.1,-29.49,-20.47,198.54,7.12,-9.87,-0.09161639371026253
1,A051370,인터플렉스,코스닥,IT 장비 및 소재,PCB,15710,3665,3665,2333,52.3,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.12,9.4,15.26,-1.44,52.52,48.91,26.59,36.61,24.68,4.05,87.12,54.06,94.18,92.8,85.33,16.45,24.64,9.8,11.75,21.03,31.49,12.52,15.03,10.81,13.97,-0.95,6.44,6.67,7.19,8.54,10.18,7.42,-5.33,-24.28,5.24,5.69,16.61,22.95,14.93,12.99,17.96,12.07,22.52,29.08,5.76,0.8,0.69,7.38,4.93,12.39,10.33,-31.79,9.34,6.76,8.84,,,7.7,1.21,4.78,0.7,1.45,1.55,1.32,16.74,4.79,,,0.038776,0.009379,1.551463,7.56,3.25,0.0,0.0,2.12,42.93,2.12,42.93,23.72,1563.5,1755.2,198.5,253.22,27.82,3743.43,0.24,,0.0,0.0,0.0,0.0,0.0,19697.0,1268.0,1681.0,10125.0,939.0,,0.65414,3.47755,1.21952,95.51,135.56,64.38,-29.55,48.35,1,1,1,1,22050,9250,71.25,69.84,208.07,121.66,0.0513,-0.6248,-0.5734,0.147,1.3611,1.5081,0.1451,2.2671,2.4122,-1.8677,-9.5915,-11.4592,-5.9744,1.3064,-4.6681,-6.6623,2.9641,-3.6982,-33.17,6.95,10498.0,16802.0,80,89,52,27,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,40.0,20221230,20240514,20240514.0,-2.91,27.33,44.65,802.24,-13.43,13.54,28.98,704.51,-6.92,11.39,1.14,32.65,38.68,689.28,213.83,589.26,191.92,602.55,227.2,687.9,-61.23,87.43,4.17,16.83,16.83,-27.81,,722.39,4012.97,0.75,,,-16.22,29.74,,,64.62,27.48,58.52,33.58,1.52,1.95,1,1,1,0,1,1,1,0,1,7,35.36,8.66,38.09,-0.96,-1.03,-15.08,9.38,-3.9,12.0,19.08,29.24,0.76,3.8,-17.14,37.41,178.04,50.69,111.53,715.47,-16.98,-87.23,-59.62,-14.69,315.18,839.9,-60.3,193.08,191.54,22.38,-10.12,162.64,240.96,99.45,6505.89,78.46,-69.74,29.88,0.33,134.29,720.78,116.78,575.93,-0.23,-69.7,301.72,35.36,8.66,38.09,-0.96,-1.03,-15.08,9.38,-3.9,12.0,19.08,29.24,0.76,3.8,-17.14,37.41,178.04,50.69,111.53,715.44,-16.98,-87.23,-59.62,-14.69,315.18,839.9,-60.3,193.08,191.54,22.38,-10.12,162.64,240.96,99.45,6508.89,78.46,-69.74,29.88,0.33,134.29,720.78,116.78,575.93,-0.23,-69.7,301.72,4594.86,496.77,201.03,0.0,295.74,112.67,8.9,-50.9,369.04,392.22,392.22,3019.06,657.18,2361.89,2361.89,602.82,702.54,54.36,5.78,-376.8,1526.47,382.6,775.67,329.86,1492.6,992.55,7.69,452.7,131.49,92.93,92.93,218.94,-24.51,-53.02,3287.94,427.23,126.01,159.18,402,3236.91,4469.95,4427.1,4381.58,-277.37,31.97,260.74,216.46,-436.13,-2.39,153.09,273.21,13875.97,19161.76,18978.05,18782.91,-1189.03,137.07,1117.73,927.91,-1869.59,-10.24,656.27,1171.19,1316.13,1029.65,1216.52,864.81,1117.68,1126.21,1169.06,968.63,1330.96,73.92,68.5,94.54,23.77,9.44,27.66,80.65,98.7,88.72,54.57,85.93,110.99,-98.4,16.51,111.61,111.35,33.74,135.53,5641.96,4413.87,5214.95,3707.27,4791.24,4827.84,5011.52,4152.31,5705.55,316.89,293.66,405.27,101.91,40.46,118.59,345.73,423.12,380.32,233.92,368.38,475.79,-421.82,70.78,478.44,477.34,144.62,580.97,1330.96,88.72,135.53,0.1263210309389009
2,A060570,드림어스컴퍼니,코스닥,가정용품,가전제품,2760,2087,2087,7562,24.5,38.7,0.0,33.0,-6.31,-12.77,0.0,33.0,-6.31,-12.77,0.0,-2.3,-5.8,2.22,-14.02,-7.69,-12.93,-17.98,-54.83,-62.45,34.96,43.31,19.44,28.25,33.09,37.11,23.78,21.59,-2.53,-3.44,33.13,30.07,-3.52,-4.79,20.56,19.48,-4.12,-2.19,-3.1,,-2.22,-1.6,,-12.97,-21.3,-6.52,9.95,-3.58,-2.47,,-2.57,-1.78,,89.41,-13.08,-10.98,0.79,0.83,3.85,4.24,-36.21,-26.6,-19.08,-35.64,-51.56,,2609.57,-8.47,120.63,0.92,7.46,0.94,2.05,1.28,,-14.25,-11.82,88.43,88.45,-0.282812,-0.370428,0.0,-10.91,-1.42,0.87,-67.56,0.48,-37.34,1.36,-104.9,35.07,-23.9,340.2,189.44,222.23,39.28,-62.25,3.43,,0.0,0.0,0.0,0.0,0.0,3487.0,-76.0,-77.0,2164.0,-194.0,,0.27324,1.45261,8.80677,2.61,2.44,1.9,6.91,37.02,0,0,0,0,4570,2665,60.39,3.56,484.98,35.67,-0.0022,0.1691,0.1669,0.0346,0.1948,0.2294,0.0647,0.4179,0.4826,0.1722,0.1674,0.3396,0.2653,-1.0814,-0.8161,0.2946,-3.956,-3.6614,-63.71,-128.05,1002.0,-774.0,18,33,84,94,65,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,,20221230,20240516,20240516.0,1.2,-8.2,17.6,-820.64,-7.51,-16.1,24.7,-758.61,-3.34,-10.65,-10.92,-19.19,21.3,-801.36,-137.58,-157.61,-135.98,-154.1,-139.36,-159.2,-177.68,70.95,-11.97,-3.68,-27.58,-215.61,,63.69,43.28,3.27,4.28,2.02,45.48,35.13,10.52,8.86,32.06,27.39,79.73,-20.28,1.16,1.61,0,0,0,0,1,0,0,0,1,2,19.44,-7.83,7.89,12.36,-1.47,20.1,-1.03,-3.75,-16.49,-9.55,-6.03,-3.75,5.83,-12.76,1.78,70.62,27.47,140.78,-278.76,59.69,175.17,336.66,-17.6,37.04,-734.36,104.53,370.71,-166.12,-346.47,54.35,87.42,-134.62,30.19,269.35,-110.64,-84.21,-89.73,-103.71,62.6,-152.11,110.52,24.78,-115.04,-1793.35,85.34,19.44,-30.7,7.89,12.36,-1.47,20.1,-1.03,-3.75,-16.49,-31.99,-6.03,-3.75,5.83,-12.76,-23.47,70.62,45.46,140.78,-278.76,59.69,175.17,336.66,-17.6,37.04,-576.98,104.53,370.71,-166.12,-346.47,65.67,87.42,-126.03,30.19,269.34,-110.64,-84.21,-89.73,-103.71,62.6,-139.18,110.52,24.78,-115.04,-1793.35,88.98,2636.58,542.14,599.78,23.6,-57.64,46.35,-20.8,-15.83,-51.25,-58.56,-58.56,2279.56,642.91,1636.65,1636.65,618.7,590.51,24.22,56.12,-882.42,1374.94,779.61,237.47,202.88,904.62,76.5,117.11,678.35,67.63,13.05,36.65,-146.52,-442.59,-27.97,1204.73,9.99,-159.56,-47.53,347,2263.29,2441.89,2743.72,2703.31,-118.89,48.49,-86.67,-34.94,-230.68,-161.03,272.7,-29.02,3980.47,4294.58,4825.41,4754.34,-209.09,85.27,-152.43,-61.44,-405.7,-283.21,479.6,-51.03,581.66,679.38,739.31,743.38,698.58,672.37,711.57,620.78,631.85,-4.11,-6.15,-8.18,-68.23,3.09,14.55,-9.62,-42.96,-19.61,122.97,236.01,98.3,-184.58,19.42,24.23,-3.65,-69.03,-10.12,1022.97,1194.83,1300.23,1307.38,1228.61,1182.51,1251.45,1091.78,835.54,-7.23,-10.81,-14.39,-120.0,5.44,25.59,-16.92,-75.55,-25.94,216.28,415.08,172.88,-324.63,34.16,42.62,-6.41,-121.4,-13.38,631.85,-19.61,-10.12,-0.07168315678520187
3,A071460,위니아,코스닥,가정용품,가전제품,613,220,220,3597,87.6,10.6,1.1,0.0,58.44,-58.4,0.0,0.0,0.0,-58.37,0.0,0.0,0.0,0.0,0.0,-24.13,-43.4,-73.35,-89.75,-81.76,,25.07,57.86,8.3,6.03,1.81,-14.94,-6.13,-135.82,-39.21,9.86,4.05,89.61,25.87,-11.23,-22.51,-10.63,-102.1,-143.87,,-95.39,-199.93,,-73.76,40.0,-26.63,-629.86,-83.73,-35.95,,-126.46,-54.49,,447.07,-2.55,-0.13,0.08,0.41,-0.76,-1.84,-0.08,-0.29,-2.14,-0.09,-0.21,,,,-0.97,0.11,3.02,-0.07,9.12,-0.07,,0.4,41.53,181.26,-406.22,-0.000469,-0.012742,0.0,-736.06,23.43,0.03,-0.04,17.99,-22.6,18.03,-22.64,-1878.02,-32.4,-1606.0,9.08,17.59,-165.82,-131.56,-72.05,,0.0,0.0,1.82,1.34,0.0,7223.0,-7375.0,-6891.0,-8230.0,1526.0,,1.30038,6.91306,-0.87703,0.0,0.0,0.0,,,0,0,0,0,2470,458,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022,-0.405,-0.4072,0.1618,-4.8161,-4.6543,-4851.55,-11330.87,-29127.0,-68845.0,16,31,98,99,74,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,,20221230,20240516,20240516.0,-176.99,-256.24,-1002.11,-89.9,101.01,102.06,-85.48,-97.5,-160.21,-459.69,-122.11,-144.86,-761.92,-337.17,-689.03,-571.41,86.71,96.16,-727.08,-191.65,88.62,59.42,-71.29,-2079.23,-2079.24,180.9,,-522.63,-343.19,-26.42,-77.04,-108.99,170.98,319.07,,,18.23,38.97,233.83,-176.63,1.33,-0.88,0,1,0,1,1,0,1,0,1,5,-59.66,-63.29,20.25,-25.72,-54.84,-41.1,-38.53,-46.7,-90.28,-87.53,-47.56,4.93,2.52,-82.77,-32.72,-665.4,-216.45,-13.95,-271.93,-282.15,-41.12,-82.47,-2254.79,-172.0,45.47,0.3,1.95,-236.6,17.34,80.01,-2143.98,-189.69,-46.74,-1311.57,-216.76,-21.78,-69.9,-854.05,-377.49,16.26,-22.67,-14.9,-67.31,-102.49,78.49,-59.66,-63.29,20.25,-25.72,-54.84,-41.1,-38.53,-46.7,-90.28,-87.53,-47.56,4.93,2.52,-82.77,-32.72,-665.4,-216.45,-13.95,-271.93,-282.15,-41.12,-82.47,-2254.79,-172.0,45.47,0.3,1.95,-236.6,17.34,80.01,-2143.95,-189.69,-46.74,-1311.56,-216.76,-21.78,-69.9,-854.05,-377.49,16.26,-22.67,-14.9,-67.31,-102.49,78.49,2598.06,-291.74,2360.78,1.22,-2652.52,-148.75,,149.37,-2702.27,-2982.03,-2478.39,1952.94,4919.84,-2966.9,-2960.0,4430.45,2262.6,489.39,2137.55,2122.63,779.19,14.83,176.39,377.08,1173.75,1054.41,26.93,97.45,236.78,635.42,636.64,548.91,-244.71,-305.46,2343.11,-2415.74,-86.51,-428.0,429,8755.94,10528.93,7820.8,3531.87,497.38,428.01,-735.88,-2812.19,123.78,65.92,-798.71,-2530.04,24344.18,29273.63,21744.21,9819.68,1382.88,1190.0,-2045.97,-7818.74,344.15,183.29,-2220.66,-7034.27,1811.4,1821.3,2153.43,2034.68,1066.89,1119.48,1147.71,197.79,133.07,-248.8,-188.68,53.78,-352.19,-351.12,-344.28,-1158.86,-957.93,-191.45,-260.87,-214.84,-64.01,-258.98,-317.69,-365.01,-610.7,-1236.63,-266.04,5036.24,5063.77,5987.18,5657.02,2966.27,3112.51,3190.97,549.93,369.98,-691.74,-524.57,149.53,-979.18,-976.22,-957.21,-3221.98,-2663.33,-532.3,-725.31,-597.33,-177.97,-720.05,-883.28,-1014.85,-1697.94,-3438.2,-739.68,133.07,-191.45,-266.04,
